airline,flights,total_CarrierDelay,share_CarrierDelay,total_WeatherDelay,share_WeatherDelay,total_NASDelay,share_NASDelay,total_SecurityDelay,share_SecurityDelay,total_LateAircraftDelay,share_LateAircraftDelay,pct_delayed,avg_arr_delay
9E,19154,68701.0,0.3165,11388.0,0.0525,59717.0,0.2751,216.0,0.001,77013.0,0.35479999999999995,,
AA,230329,452736.0,0.3121,84959.0,0.058600000000000006,399173.0,0.2751,2110.0,0.0015,511806.0,0.3528,,
AS,48923,80617.0,0.32299999999999995,5671.0,0.0227,63704.0,0.2552,1445.0,0.0058,98165.0,0.3933,,
B6,37033,163731.0,0.27899999999999997,16573.0,0.0282,169815.0,0.2894,1479.0,0.0025,235201.0,0.4008,,
CO,89698,70856.0,0.2354,11476.0,0.0381,138405.0,0.4598,1022.0,0.0034000000000000002,79232.0,0.2632,,
DH,6944,14094.0,0.1891,3400.0,0.045599999999999995,23265.0,0.3122,7.0,0.0001,33757.0,0.45299999999999996,,
DL,260894,389037.0,0.3283,66303.0,0.055999999999999994,370511.0,0.3127,702.0,0.0006,358405.0,0.3025,,
EA,9068,0.0,,0.0,,0.0,,0.0,,0.0,,,
EV,65584,348004.0,0.3533,58716.0,0.0596,240590.0,0.2443,486.0,0.0005,337094.0,0.3423,,
F9,14175,44864.0,0.2473,3493.0,0.019299999999999998,57722.0,0.3182,7.0,0.0,75299.0,0.41509999999999997,,
FL,25703,42461.0,0.145,4242.0,0.014499999999999999,91435.0,0.3123,0.0,0.0,154642.0,0.5282,,
G4,2260,13951.0,0.3811,4034.0,0.11019999999999999,5198.0,0.142,88.0,0.0024,13334.0,0.3643,,
HA,11645,27968.0,0.6295000000000001,977.0,0.022000000000000002,1277.0,0.0287,56.0,0.0013,14150.0,0.3185,,
HP,37049,18225.0,0.40399999999999997,657.0,0.0146,13824.0,0.3065,290.0,0.0064,12110.0,0.2685,,
KH,1545,1081.0,0.379,24.0,0.0084,123.0,0.0431,0.0,0.0,1624.0,0.5694,,
ML (1),752,0.0,,0.0,,0.0,,0.0,,0.0,,,
MQ,75085,209904.0,0.2532,60420.0,0.0729,229165.0,0.2764,424.0,0.0005,329244.0,0.3971,,
NK,8463,20066.0,0.1703,3430.0,0.0291,63098.0,0.5355,233.0,0.002,31010.0,0.2632,,
NW,107056,122581.0,0.3948,22201.0,0.07150000000000001,101060.0,0.32549999999999996,535.0,0.0017000000000000001,64125.0,0.2065,,
OH,23975,117137.0,0.3676,55934.0,0.17550000000000002,83520.0,0.2621,201.0,0.0006,61860.0,0.1941,,
OO,104997,384323.0,0.3283,66235.0,0.056600000000000004,247327.0,0.2113,1279.0,0.0011,471305.0,0.40270000000000006,,
PA (1),3136,0.0,,0.0,,0.0,,0.0,,0.0,,,
PI,8849,0.0,,0.0,,0.0,,0.0,,0.0,,,
PS,859,0.0,,0.0,,0.0,,0.0,,0.0,,,
TW,37826,0.0,,0.0,,0.0,,0.0,,0.0,,,
TZ,2139,4476.0,0.2193,252.0,0.0123,7436.0,0.3642,185.0,0.0091,8066.0,0.3951,,
UA,190624,273839.0,0.2548,39578.0,0.0368,319862.0,0.29760000000000003,573.0,0.0005,440896.0,0.4102,,
US,169067,138462.0,0.2771,17426.0,0.0349,174433.0,0.34909999999999997,1124.0,0.0022,168227.0,0.3367,,
VX,3961,9358.0,0.19469999999999998,2130.0,0.0443,19840.0,0.4127,150.0,0.0031,16591.0,0.34509999999999996,,
WN,302703,491905.0,0.2661,71436.0,0.038599999999999995,273353.0,0.1479,4479.0,0.0024,1007523.0,0.545,,
XE,34831,92292.0,0.2082,21842.0,0.0493,176298.0,0.39759999999999995,1081.0,0.0024,151850.0,0.3425,,
YV,21861,124701.0,0.4208,14630.0,0.049400000000000006,51251.0,0.17300000000000001,623.0,0.0021,105109.0,0.3547,,
YX,7350,21455.0,0.2327,4658.0,0.050499999999999996,32012.0,0.3472,30.0,0.0003,34043.0,0.36920000000000003,,
