cluster,metric,value
0,DelayedFlightRate,0.4507669853628779
0,AvgArrDelay,7.834051516696102
0,AvgCarrierDelay,2.392066487274537
0,AvgWeatherDelay,0.4435685615212461
0,AvgNASDelay,2.567261759653049
0,AvgSecurityDelay,0.0184871480737619
0,AvgLateAircraftDelay,3.0354993778692707
0,CarrierShare,0.2811903160272076
0,WeatherShare,0.0507517158985538
0,NASShare,0.3043168853826082
0,SecurityShare,0.0022180924449104
0,LateAircraftShare,0.3615229902467198
1,DelayedFlightRate,0.4228849162870827
1,AvgArrDelay,5.58126873825972
1,AvgCarrierDelay,1.5029564961462445
1,AvgWeatherDelay,0.2736277413981803
1,AvgNASDelay,2.0381571648716834
1,AvgSecurityDelay,0.0037252693001153
1,AvgLateAircraftDelay,2.3638101503482294
1,CarrierShare,0.2429021789587893
1,WeatherShare,0.0443380540600152
1,NASShare,0.3303334903700913
1,SecurityShare,0.0005910828594678
1,LateAircraftShare,0.3818351937516362
2,DelayedFlightRate,0.4341010872990281
2,AvgArrDelay,4.5291489667660025
2,AvgCarrierDelay,1.3274934811187846
2,AvgWeatherDelay,0.072225133749198
2,AvgNASDelay,0.8855610058281405
2,AvgSecurityDelay,0.0185315449929796
2,AvgLateAircraftDelay,1.9608607832649971
2,CarrierShare,0.3045832448438106
2,WeatherShare,0.0170658296957328
2,NASShare,0.2063500787815466
2,SecurityShare,0.0043682015630657
2,LateAircraftShare,0.4676326451158441
3,DelayedFlightRate,0.4278476215082691
3,AvgArrDelay,3.9129142245027655
3,AvgCarrierDelay,1.8785436669385585
3,AvgWeatherDelay,0.1488120932174338
3,AvgNASDelay,1.0217594073542395
3,AvgSecurityDelay,0.0050820750249569
3,AvgLateAircraftDelay,1.4297851401807673
3,CarrierShare,0.4265688826689907
3,WeatherShare,0.0316075648555613
3,NASShare,0.2207865407314525
3,SecurityShare,0.0011074384410768
3,LateAircraftShare,0.3199295733029185
4,DelayedFlightRate,0.4415640226035425
4,AvgArrDelay,6.657765238860281
4,AvgCarrierDelay,2.0609993357224567
4,AvgWeatherDelay,0.2380354317672465
4,AvgNASDelay,1.285930584958308
4,AvgSecurityDelay,0.0110436395248528
4,AvgLateAircraftDelay,3.1857665765716607
4,CarrierShare,0.3043672148933843
4,WeatherShare,0.0347439880145357
4,NASShare,0.1875580730970372
4,SecurityShare,0.00167621304519
4,LateAircraftShare,0.4716545109498526
5,DelayedFlightRate,0.4583076592711253
5,AvgArrDelay,6.8808213618791765
5,AvgCarrierDelay,2.2784302668258056
5,AvgWeatherDelay,0.4987693740181834
5,AvgNASDelay,1.8416949998841825
5,AvgSecurityDelay,0.0071000265613423
5,AvgLateAircraftDelay,1.8320162306878447
5,CarrierShare,0.3533549757880322
5,WeatherShare,0.0773980836083515
5,NASShare,0.2882749821775881
5,SecurityShare,0.0010953629246509
5,LateAircraftShare,0.2798765955013772
6,DelayedFlightRate,0.4132322119460118
6,AvgArrDelay,4.660166350808495
6,AvgCarrierDelay,1.1242089308664749
6,AvgWeatherDelay,0.165850862115939
6,AvgNASDelay,1.1785397442337286
6,AvgSecurityDelay,0.005905051206303
6,AvgLateAircraftDelay,2.2469278773612618
6,CarrierShare,0.2389568529265801
6,WeatherShare,0.034990544604875
6,NASShare,0.2485725039183984
6,SecurityShare,0.001249688953906
6,LateAircraftShare,0.4762304095962403
7,DelayedFlightRate,0.4144154984354076
7,AvgArrDelay,4.831356333904019
7,AvgCarrierDelay,1.1963747244689529
7,AvgWeatherDelay,0.2017202038659365
7,AvgNASDelay,2.192244825564284
7,AvgSecurityDelay,0.0192670418877709
7,AvgLateAircraftDelay,2.2982203190157984
7,CarrierShare,0.2052245568736322
7,WeatherShare,0.036066988145576
7,NASShare,0.370718745163344
7,SecurityShare,0.0032500565260774
7,LateAircraftShare,0.3847396532913701
