period,time_grain,total_CarrierDelay,total_WeatherDelay,total_NASDelay,total_SecurityDelay,total_LateAircraftDelay,avg_CarrierDelay,avg_WeatherDelay,avg_NASDelay,avg_SecurityDelay,avg_LateAircraftDelay
1,month,316121.0,70754.0,288040.0,1545.0,390854.0,1.9212410356144403,0.43001093958915765,1.7505773672055427,0.009389814026984319,2.37543454479154
2,month,296594.0,59163.0,262894.0,1661.0,369627.0,1.9583495652059082,0.3906411974830143,1.7358353526883283,0.010967243530910989,2.4405715379891846
3,month,316035.0,41577.0,275069.0,1357.0,402761.0,1.8490121167088889,0.24325273079375853,1.6093341368234448,0.007939340397025527,2.35641612206809
4,month,278439.0,46922.0,252849.0,977.0,360720.0,1.7307462797896542,0.2916620047489402,1.5716816469622945,0.006072924825022688,2.2421959497258794
5,month,279875.0,50593.0,281570.0,846.0,388850.0,1.6997455316202772,0.3072629769763812,1.7100396581985582,0.005137953442611003,2.361575881984975
6,month,393010.0,78076.0,356280.0,1566.0,563800.0,2.4028637983846806,0.47735679479576176,2.1782965168532455,0.009574526623420294,3.4470741444983157
7,month,408306.0,77973.0,362898.0,1784.0,567787.0,2.4167840611793117,0.46152616812472624,2.148011790749707,0.010559587086998213,3.3607602429178556
8,month,350063.0,62509.0,317350.0,3034.0,480301.0,2.067512816272532,0.3691854284296818,1.8743060313260413,0.017919157079071085,2.8367136006047864
9,month,228904.0,33627.0,216124.0,1312.0,261042.0,1.4578572611359497,0.21416561580496007,1.3764632453157044,0.00835594278217229,1.6625396461462034
10,month,258299.0,33060.0,246782.0,1369.0,308414.0,1.5314684485447139,0.1960144906054156,1.4631835456922466,0.008116873491797155,1.8286029372528325
11,month,238676.0,30725.0,229043.0,1133.0,291663.0,1.4903464295526638,0.191853785248645,1.4301958188675474,0.007074705897045233,1.8212091315533132
12,month,382503.0,67106.0,324515.0,2241.0,505862.0,2.3402264954388885,0.41056733987164035,1.985444823092501,0.013710866519422198,3.094960445893776
Autumn,season,725879.0,97412.0,691949.0,3814.0,861119.0,1.4941223449692584,0.2005092389615148,1.4242820945076704,0.00785059579311807,1.772495332662307
Spring,season,874349.0,139092.0,809488.0,3180.0,1152331.0,1.7611812527192743,0.2801698438532317,1.6305332194595292,0.006405401485730861,2.32111405643199
Summer,season,1151379.0,218558.0,1036528.0,6384.0,1611888.0,2.294401788685607,0.43552980046670026,2.065533327620805,0.012721667686286544,3.212077613332244
Winter,season,995218.0,197023.0,875449.0,5447.0,1266343.0,2.075801250630947,0.4109457322948953,1.8259900133072473,0.011361218760298516,2.641307113745677
